UserID,Username,Email,Password,SubscriptionTier,UserType
1,user1,user1@mace.com,user1,Free,user
2,artist1,artist1@mace.com,artist1,Premium,artist
3,user3,user3@mace.com,user3,Free,user
4,user4,user4@mace.com,user4,Free,user
5,artist2,artist2@mace.com,artist2,Premium,user
6,user6,user6@example.com,password123,Free,user
7,user7,user7@example.com,securepwd456,Premium,user
8,user8,user8@example.com,hashedpwd789,Free,user
9,user9,user9@example.com,testpassword1,Free,user
10,admin,admin@mace.com,admin,Premium,admin
